year,count,sex,job,perc
525,103298.7129,USD,a,0.006532949440853
525,14738.26144,USD,b,0.000932095997428
525,7159297.508,USD,c,0.452777458083476
526,384.42261,EUR,a,0.000024312146827
526,1034.04129,EUR,b,0.000065396163008
526,780065.6343,EUR,c,0.049333909455733
526,22564.60559,UAH,a,0.001427059673192
526,347.70757,UAH,d,0.000021990167266
526,369359.424,UAH,e,0.023359501536984
526,160861.8183,UAH,b,0.010173429043596
526,7200004.445,UAH,c,0.455351898291638
526,103298.7129,USD,a,0.006532949440853
526,14738.26144,USD,b,0.000932095997428
526,7159297.508,USD,c,0.452777458083476
527,388.11772,EUR,a,0.000024461620507
527,1043.98059,EUR,b,0.000065798224852
527,786672.8829,EUR,c,0.049581074329997
527,22564.60559,UAH,a,0.001422163406603
527,306.81165,UAH,d,0.000019337200449
527,382149.4332,UAH,e,0.024085461526292
527,161546.0669,UAH,b,0.010181649483656
527,7192439.302,UAH,c,0.453312775095432
527,103684.7342,USD,a,0.006534864267228
527,14816.08192,USD,b,0.000933802696077
527,7200782.44,USD,c,0.453838612148907
528,386.31144,EUR,a,0.000024409878634
528,1039.12197,EUR,b,0.000065659047461
528,783226.7558,EUR,c,0.049489784851974
528,22564.60559,UAH,a,0.001425790765800
528,293.17482,UAH,d,0.000018524850765
528,384795.1429,UAH,e,0.024314068302251
528,162689.153,UAH,b,0.010279846953398
528,7203451.652,UAH,c,0.455164829096220
528,103100.8129,USD,a,0.006514635784349
528,14722.77008,USD,b,0.000930288346647
528,7149759.207,USD,c,0.451772162122501
529,387.28488,EUR,a,0.000024513718689
529,1041.74037,EUR,b,0.000065938361387
529,784950.3204,EUR,c,0.049684488942292
529,22564.60559,UAH,a,0.001428257136609
529,272.73954,UAH,d,0.000017263416942
529,380305.1187,UAH,e,0.024071925287976
529,162231.4266,UAH,b,0.010268656898439
529,7157436.149,UAH,c,0.453039572021143
529,103416.0211,USD,a,0.006545856498936
529,14767.78172,USD,b,0.000934746656632
529,7171326.508,USD,c,0.453918781060954
530,390.09174,EUR,a,0.000024489715134
530,1049.29042,EUR,b,0.000065873795426
530,790063.977,EUR,c,0.049599721677649
530,22554.60093,UAH,a,0.001415963721061
530,270.92799,UAH,d,0.000017008689537
530,401237.1711,UAH,e,0.025189418318515
530,161317.2391,UAH,b,0.010127395240906
530,7173373.969,UAH,c,0.450339925292002
530,104221.4496,USD,a,0.006542957334869
530,14918.94211,USD,b,0.000936601842344
530,7259400.936,USD,c,0.455740644372556
531,392.08293,EUR,a,0.000024821304672
531,1054.64646,EUR,b,0.000066765725059
531,779959.9989,EUR,c,0.049376352001718
531,22494.60046,UAH,a,0.001424049069132
531,337.82114,UAH,d,0.000021386193580
531,431998.4178,UAH,e,0.027348204995759
531,161085.3395,UAH,b,0.010197710697075
531,6986995.863,UAH,c,0.442320590340281
531,104877.6031,USD,a,0.006639409016207
531,14996.43125,USD,b,0.000949368004995
531,7292032.864,USD,c,0.461631342651522
601,392.08293,EUR,a,0.000024821304672
601,1054.64646,EUR,b,0.000066765725059
601,779959.9989,EUR,c,0.049376352001718
601,22494.60046,UAH,a,0.001424049069132
601,337.82114,UAH,d,0.000021386193580
601,431998.4178,UAH,e,0.027348204995759
601,161085.3395,UAH,b,0.010197710697075
601,6986995.863,UAH,c,0.442320590340281
601,104877.6031,USD,a,0.006639409016207
601,14996.43125,USD,b,0.000949368004995
601,7292032.864,USD,c,0.461631342651522
602,392.08293,EUR,a,0.000024821304672
602,1054.64646,EUR,b,0.000066765725059
602,779959.9989,EUR,c,0.049376352001718
602,22494.60046,UAH,a,0.001424049069132
602,337.82114,UAH,d,0.000021386193580
602,431998.4178,UAH,e,0.027348204995759
602,161085.3395,UAH,b,0.010197710697075
602,6986995.863,UAH,c,0.442320590340281
602,104877.6031,USD,a,0.006639409016207
602,14996.43125,USD,b,0.000949368004995
602,7292032.864,USD,c,0.461631342651522
603,392.42034,EUR,a,0.000025025810414
603,1055.55402,EUR,b,0.000067315814430
603,775776.9848,EUR,c,0.049473602065603
603,22494.60046,UAH,a,0.001434547471322
603,297.45336,UAH,d,0.000018969484085
603,383908.5919,UAH,e,0.024482990961432
603,162532.681,UAH,b,0.010365191721391
603,6951832.177,UAH,c,0.443338982108981
603,104807.8293,USD,a,0.006683906513807
603,14986.4543,USD,b,0.000955730694500
603,7262539.917,USD,c,0.463153737354036
604,395.08462,EUR,a,0.000024960006312
604,1062.72057,EUR,b,0.000067138812276
604,785418.3148,EUR,c,0.049619866486661
604,22494.60046,UAH,a,0.001421126870165
604,317.6066,UAH,d,0.000020065227396
604,403229.5636,UAH,e,0.025474574163883
604,162544.8483,UAH,b,0.010268991084931
604,7012571.798,UAH,c,0.443028727222943
604,105164.9557,USD,a,0.006643938605069
604,15037.10671,USD,b,0.000949989595642
604,7320470.135,USD,c,0.462480621924724
605,400.88326,EUR,a,0.000025182934403
605,1078.31806,EUR,b,0.000067738455756
605,789790.5112,EUR,c,0.049613552424402
